Magic Square Analysis
Size,Iterations,Total Time (s),Average Time (s)
11,10,0.00498113,0.000498113
11,20,0.00792836,0.000396418
11,30,0.0114903,0.00038301
11,40,0.0148892,0.000372231
11,50,0.0169356,0.000338713
11,60,0.0218064,0.00036344
11,70,0.0223925,0.000319893
11,80,0.0318991,0.000398739
11,90,0.0395861,0.000439846
11,100,0.0364432,0.000364432
21,10,0.0114341,0.00114341
21,20,0.0208837,0.00104419
21,30,0.0312926,0.00104309
21,40,0.0352113,0.000880283
21,50,0.0501191,0.00100238
21,60,0.054032,0.000900533
21,70,0.0623799,0.000891141
21,80,0.0760997,0.000951247
21,90,0.0809969,0.000899965
21,100,0.0830697,0.000830697
31,10,0.0180052,0.00180052
31,20,0.0247381,0.00123691
31,30,0.0343312,0.00114437
31,40,0.0474799,0.001187
31,50,0.0555402,0.0011108
31,60,0.0855048,0.00142508
31,70,0.116364,0.00166234
31,80,0.136307,0.00170384
31,90,0.11521,0.00128011
31,100,0.119163,0.00119163
41,10,0.0166234,0.00166234
41,20,0.0349114,0.00174557
41,30,0.0513476,0.00171159
41,40,0.0630576,0.00157644
41,50,0.0817296,0.00163459
41,60,0.0976562,0.0016276
41,70,0.113431,0.00162044
41,80,0.128697,0.00160871
41,90,0.144493,0.00160548
41,100,0.194812,0.00194812
